name,freebase_id,dob
b'S\xc3\xb8ren Kierkegaard',/m/06qvh,
b'Maine de Biran',/m/017jns,
b'Johann Heinrich Lambert',/m/0n29h,
b'Jean-Jacques Rousseau',/m/0420y,
b'Augustus De Morgan',/m/0q2w,
b'Jean Bodin',/m/01nywz,
b'William Whewell',/m/01d48b,
b'Alexander Bain',/m/0121qt,
b'Charles Babbage',/m/01qmz,
b'John Locke',/m/043s3,
b'John Cowper Powys',/m/01ffjd,
b'John Dewey',/m/04411,
b'John Dee',/m/043y0,
b'Pierre Gassendi',/m/01b_dj,
"b'Claude Henri de Rouvroy, comte de Saint-Simon'",/m/01f3ss,
b'James Mill',/m/017h4t,
b'George Herbert Mead',/m/01x73v,
b'Wilhelm von Humboldt',/m/081_6,
b'Thomas Hill Green',/m/01f0h6,
b'Josiah Warren',/m/06h_n6,
b'George Sylvester Morris',/m/09yp5w,
b'Karl Marx',/m/048cl,
b'Leo Tolstoy',/m/01tz6vs,
b'Charles Fourier',/m/01jfhs,
b'Jules Michelet',/m/01s6q3,
b'Alexander Herzen',/m/02fkcx,
b'Petr Chel\xc4\x8dick\xc3\xbd',/m/029km3,
b'Joseph Dietzgen',/m/03_88v,
b'Karl Kautsky',/m/01x_n6,
b'Marcus Aurelius',/m/051x8,
b'Mahatma Gandhi',/m/04xfb,
b'Mary Wollstonecraft',/m/04_cw,
b'Lucretius',/m/0987k,
b'Desiderius Erasmus',/m/02rpq,
b'Michael Faraday',/m/04zt0,
b'Jan Hus',/m/042x_,
b'Frank P. Ramsey',/m/01jkgd,
b'Posidonius',/m/0m1s3,
b'Plutarch',/m/063_9,
b'Robert Boyle',/m/0d98m,
b'Plato',/m/05qmj,
b'Gorgias',/m/0p7d0,
b'Nasir al-Din al-Tusi',/m/0428hj,
b'Pythagoras',/m/05sr0,
b'Ab\xc5\xab Ray\xe1\xb8\xa5\xc4\x81n al-B\xc4\xabr\xc5\xabn\xc4\xab',/m/01ny93,
b'Omar Khayy\xc3\xa1m',/m/0m_hz,
b'Terence McKenna',/m/01k1wq,
b'Duns Scotus',/m/0m1wd,
b'Adam Weishaupt',/m/0wjz,
b'Mikhail Bakunin',/m/0fyhn,
b'Samuel Taylor Coleridge',/m/078w2,
b'Sigmund Freud',/m/06myp,
b'Josef Breuer',/m/053rzy,
b'Karl Robert Eduard von Hartmann',/m/02vhlz,
b'William Wollaston',/m/0q250,
b'Franz Brentano',/m/0l235,
b'Seneca the Younger',/m/0j_8y,
b'Thomas Carlyle',/m/0ymtb,
b'Thomas Hobbes',/m/07c37,
b'Thomas Jefferson',/m/07cbs,
b'Giovanni Pico della Mirandola',/m/013w_3,
b'Thomas More',/m/07hl9,
b'Thomas Aquinas',/m/07kb5,
b'F. H. Bradley',/m/02dtxl,
b'Proclus',/m/066c6,
b'Pseudo-Dionysius the Areopagite',/m/05x_l,
b'Walt Whitman',/m/085gk,
b'William Paley',/m/08496,
b'Wang Fuzhi',/m/055kf1,
b'Richard Avenarius',/m/0440vk,
b'Cheng Yi',/m/027gyyf,
b'Rudolf Steiner',/m/06hwd,
b'Charles Bernard Renouvier',/m/017lh3,
b'David Hartley',/m/017gqs,
b'F. C. S. Schiller',/m/05xp4l,
b'Muhammad Usman Damani',/m/0ch3vxc,
b'Muhammad Sirajuddin Naqshbandi',/m/0ch2vc_,
b'Zhou Dunyi',/m/06r6f2,
b'Frithjof Bergmann',/m/0b0kb9,
b'Ernst Mach',/m/0fcy0,
b'Guy Debord',/m/014pkc,
b'Philippa Foot',/m/04ycgp,
b'Candace Vogler',/m/0bbs7g,
b'Carl Stumpf',/m/02hrxh,
b'Leo Strauss',/m/01dvtx,
b'Joseph Cropsey',/m/02691cg,
b'Evald Ilyenkov',/m/02n65z,
b'Cornelius Castoriadis',/m/032hw6,
b'Cornelius Van Til',/m/0bh36k,
b'Francis Schaeffer',/m/018d22,
b'Kurt Koffka',/m/01q0z8,
b'Euclid of Megara',/m/03n25g,
b'Stilpo',/m/04jdxd,
b'Max Horkheimer',/m/04xnh,
b'Erich Fromm',/m/0cb9c,
b'H. L. A. Hart',/m/01tfg3,
b'Neil MacCormick',/m/025q95,
b'Henry Sidgwick',/m/01dcwz,
b'J. J. C. Smart',/m/028ssh,
b'Frantz Fanon',/m/0nk7l,
b'Lewis Gordon',/m/06nj4n,
b'Nelson Goodman',/m/04dyc2,
b'Jerry Fodor',/m/027931,
b'Arthur Danto',/m/041yx0,
b'Gy\xc3\xb6rgy Luk\xc3\xa1cs',/m/01t57w,
b'Ren\xc3\xa9 Gu\xc3\xa9non',/m/032xc4,
b'Huston Smith',/m/03v8zv,
b'Gianni Vattimo',/m/07k8bc,
b'Mario Kopi\xc4\x87',/m/04y9j94,
b'Hannah Arendt',/m/0nk72,
b'Cleomedes',/m/077h0y,
b'Jason of Nysa',/m/03ck33s,
b'Hilary Putnam',/m/0j_qm,
b'Alfred Sch\xc3\xbctz',/m/0ql9l,
b'Georg Simmel',/m/0qngb,
b'Wilhelm Windelband',/m/04f7mv,
b'Bernard Lonergan',/m/0446t9,
b'Dieter Henrich',/m/02vp35p,
b'Manfred Frank',/m/02rxpj7,
b'Roland Barthes',/m/017kb5,
b'John Anderson',/m/01368h,
b'David Chalmers',/m/01m382,
b'Richard Price',/m/0crqcc,
b'Simone Weil',/m/018klb,
08hsc0,
Alan Carter,/m/02w9k2f,
