"p","influenced"
"http://dbpedia.org/resource/Horst_Matthai_Quelle","http://rdf.freebase.com/ns/m.0by0yq4"
"http://dbpedia.org/resource/Friedrich_Wilhelm_Foerster","http://rdf.freebase.com/ns/m.0jt3gbw"
"http://dbpedia.org/resource/Paul_Ludwig_Landsberg","http://rdf.freebase.com/ns/m.0w1fwjv"
"http://dbpedia.org/resource/Paul_Souriau","http://rdf.freebase.com/ns/m.0bmkgt5"
"http://dbpedia.org/resource/Sam_C._Sarkesian","http://rdf.freebase.com/ns/m.0hglm_j"
"http://dbpedia.org/resource/Alastair_Hannay","http://rdf.freebase.com/ns/m.075vxh"
"http://dbpedia.org/resource/Jules_Lequier","http://rdf.freebase.com/ns/m.04f666q"
"http://dbpedia.org/resource/Pierre_Charron","http://rdf.freebase.com/ns/m.01sjky"
"http://dbpedia.org/resource/Richard_Sylvan","http://rdf.freebase.com/ns/m.05xpwd2"
"http://dbpedia.org/resource/Terry_Eagleton","http://rdf.freebase.com/ns/m.028zf3"
"http://dbpedia.org/resource/Amjad_Jauhari","http://rdf.freebase.com/ns/m.0hhsz_7"
"http://dbpedia.org/resource/Pierre_Clastres","http://rdf.freebase.com/ns/m.07870g"
"http://dbpedia.org/resource/Debiprasad_Chattopadhyaya","http://rdf.freebase.com/ns/m.05y4rj5"
"http://dbpedia.org/resource/Alejandro_Korn","http://rdf.freebase.com/ns/m.02qfqq1"
"http://dbpedia.org/resource/Alex_Callinicos","http://rdf.freebase.com/ns/m.0278g0"
"http://dbpedia.org/resource/Algernon_Sidney","http://rdf.freebase.com/ns/m.01ljdc"
"http://dbpedia.org/resource/Alison_Wray","http://rdf.freebase.com/ns/m.05xl5bp"
"http://dbpedia.org/resource/Bertrand_de_Jouvenel","http://rdf.freebase.com/ns/m.072y20"
"http://dbpedia.org/resource/Byung-Chul_Han","http://rdf.freebase.com/ns/m.0j_6h32"
"http://dbpedia.org/resource/Fran%C3%A7ois_Noudelmann","http://rdf.freebase.com/ns/m.0g544j3"
"http://dbpedia.org/resource/G._M._Syed","http://rdf.freebase.com/ns/m.0f7xfz"
"http://dbpedia.org/resource/Jacques_Ranci%C3%A8re","http://rdf.freebase.com/ns/m.01tqpm"
"http://dbpedia.org/resource/Mujahid_ibn_Jabr","http://rdf.freebase.com/ns/m.0h26df"
"http://dbpedia.org/resource/Thomas_Pogge","http://rdf.freebase.com/ns/m.04f48r"
"http://dbpedia.org/resource/William_A._Earle","http://rdf.freebase.com/ns/m.0dqxxp"
"http://dbpedia.org/resource/Max_M%C3%BCller_(Catholic_intellectual)","http://rdf.freebase.com/ns/m.02qrf2x"
"http://dbpedia.org/resource/Arthur_Prior","http://rdf.freebase.com/ns/m.05w44s2"
"http://dbpedia.org/resource/David_R._Segal","http://rdf.freebase.com/ns/m.05yh3ys"
"http://dbpedia.org/resource/Fredric_Jameson","http://rdf.freebase.com/ns/m.01zzm1"
"http://dbpedia.org/resource/Hector_Zagal","http://rdf.freebase.com/ns/m.03cdnjv"
"http://dbpedia.org/resource/Newton_da_Costa","http://rdf.freebase.com/ns/m.058vj4"
"http://dbpedia.org/resource/Patricia_M._Shields","http://rdf.freebase.com/ns/m.0gvr3q8"
"http://dbpedia.org/resource/Sarfraz_Ahmed_Naeemi","http://rdf.freebase.com/ns/m.06614h2"
"http://dbpedia.org/resource/Syed_Shujaat_Ali_Qadri","http://rdf.freebase.com/ns/m.0bbxb88"
"http://dbpedia.org/resource/Benny_L%C3%A9vy","http://rdf.freebase.com/ns/m.08hm54"
"http://dbpedia.org/resource/Barbara_F._Walter","http://rdf.freebase.com/ns/m.010gkjk_"
"http://dbpedia.org/resource/Marcel_Paquet","http://rdf.freebase.com/ns/m.01264yv9"
"http://dbpedia.org/resource/Martha_Albertson_Fineman","http://rdf.freebase.com/ns/m.03y9jrn"
"http://dbpedia.org/resource/Mohammed_Arkoun","http://rdf.freebase.com/ns/m.04ch0p"
"http://dbpedia.org/resource/Ruth_Chang","http://rdf.freebase.com/ns/m.0r4qbyr"
"http://dbpedia.org/resource/Abdul_Haq_(Urdu_scholar)","http://rdf.freebase.com/ns/m.0fz52s"
"http://dbpedia.org/resource/Chantal_Mouffe","http://rdf.freebase.com/ns/m.02xrbf"
"http://dbpedia.org/resource/David_Wood_(philosopher)","http://rdf.freebase.com/ns/m.026j94s"
"http://dbpedia.org/resource/Ebrahim_Desai","http://rdf.freebase.com/ns/m.02649jd"
