no,fb1,fb2,name_x,phil_x,writ_x,name_y,phil_y,writ_y
26779,/m/03_d0,/m/09gl8g4,,,,,,
26780,/m/07sbkfb,/m/0czf3dg,,,,,,
26781,/m/07sbkfb,/m/0dgr3pp,,,,,,
26782,/m/041st,/m/0_yf9lg,Jean-Michel Basquiat,,,,,
26783,/m/07sbkfb,/m/03c9pzr,,,,,,
26784,/m/07sbkfb,/m/0k9hf94,,,,,,
26785,/m/07sbkfb,/m/026_3pk,,,,,,
26786,/m/0403d,/m/03s9v,Johannes Kepler,,,Isaac Newton,1.0,
26787,/m/04135,/m/01c30r,Jean Cocteau,,,Stan Brakhage,,
26788,/m/04135,/m/0n53lhw,Jean Cocteau,,,,,
26789,/m/041c4,/m/028brr0,John Cleese,,1.0,Adil Ray,,
26790,/m/04135,/m/0196x7,Jean Cocteau,,,Maya Deren,,1.0
26791,/m/045bg,/m/05q5wmd,Jean-Paul Sartre,1.0,1.0,,,
26792,/m/045bg,/m/05y39dp,Jean-Paul Sartre,1.0,1.0,Mark Poster,,
26793,/m/0bw2x,/m/0h958zt,Johannes Vermeer,,,,,
26794,/m/045bg,/m/05xnyjq,Jean-Paul Sartre,1.0,1.0,Amina Mama,,1.0
26795,/m/0bw2x,/m/0m3vt,Johannes Vermeer,,,Edward Gorey,,1.0
26796,/m/045bg,/m/0l8m1kn,Jean-Paul Sartre,1.0,1.0,,,
26797,/m/0bw2x,/m/0rysm3w,Johannes Vermeer,,,,,
26798,/m/03_7s,/m/01g_9_,John Ray,,,Gilbert White,,
26799,/m/044gp,/m/06g4_,John Maynard Smith,,,,,
26800,/m/04107,/m/02psc44,John Steinbeck,,1.0,John Wooley,,1.0
26801,/m/040sb,/m/02l_s6,John Horton Conway,,,,,
26802,/m/04107,/m/0fdhd0,John Steinbeck,,1.0,Greg F. Gifune,,1.0
26803,/m/01vsl3_,/m/0d5lk,John Lennon,,1.0,Abbie Hoffman,,1.0
26804,/m/0421f,/m/04l80j,John von Neumann,,,Abraham Wald,,
26805,/m/0421f,/m/03fhn,John von Neumann,,,George Dantzig,,
26806,/m/040db,/m/04cbtrw,Jorge Luis Borges,,1.0,Salman Rushdie,,1.0
26807,/m/0421f,/m/0c1fq_,John von Neumann,,,,,
26808,/m/045zr,/m/0fkb9r,Joni Mitchell,,,B. W. Powe,1.0,
26809,/m/0c4j4,/m/02x2tnj,John of the Cross,1.0,1.0,,,
26810,/m/042wh,/m/0706m2,Justus von Liebig,,,,,
26811,/m/040db,/m/04g2l9d,Jorge Luis Borges,,1.0,Howard Schwartz,,
26812,/m/0435m,/m/01dbc6,Juan Gris,,,Patrick Caulfield,,
26813,/m/04kyw,/m/03m7hp,,,,,,
26814,/m/04jyj,/m/0174kl,Le Corbusier,,1.0,,,
26815,/m/04dvd,/m/064k1g8,Kazimir Malevich,,,Ben F. Laposky,,
26816,/m/04dvd,/m/03lp80,Kazimir Malevich,,,Daniil Kharms,,1.0
26817,/m/04cht,/m/05gk1c,Kurt Schwitters,,,Arman,,
26818,/m/04dvd,/m/0nhjp9r,Kazimir Malevich,,,,,
26819,/m/04cht,/m/0gh7xf1,Kurt Schwitters,,,,,
26820,/m/04cht,/m/03gw523,Kurt Schwitters,,,,,
26821,/m/047g6,/m/09l2q,Karl Popper,1.0,,Imre Lakatos,1.0,
26822,/m/047g6,/m/05vwq6t,Karl Popper,1.0,,,,
26823,/m/047g6,/m/0zrp7jn,Karl Popper,1.0,,,,
26824,/m/04dvd,/m/0by0j3y,Kazimir Malevich,,,,,
26825,/m/04d61,/m/03790v,,,,,,
26826,/m/04jyj,/m/01215hxq,Le Corbusier,,1.0,,,
26827,/m/073zs,/m/02r5z_b,Lawrence Alma-Tadema,,,,,
26828,/m/04dvd,/m/0cc5l_w,Kazimir Malevich,,,,,
26829,/m/04jyj,/m/04yhhk8,Le Corbusier,,1.0,Maurice Cloud,,
26830,/m/04jyj,/m/0b75cr4,Le Corbusier,,1.0,,,
26831,/m/04dvd,/m/03qr3tj,Kazimir Malevich,,,,,
26832,/m/04kyw,/m/03nk21,,,,,,
26833,/m/04kyw,/m/02k6kx,,,,,,
26834,/m/04kyw,/m/091hdj,,,,,,
26835,/m/04kyw,/m/09fj2k,,,,,,
26836,/m/04n8q,/m/0gfgs38,,,,,,
26837,/m/051mn,/m/02pyzmr,M. C. Escher,,,Chet Zar,,
26838,/m/04kyw,/m/0bgnn8,,,,,,
26839,/m/04kyw,/m/04zzxjs,,,,,,
26840,/m/04n8q,/m/0x1xg32,,,,,,
26841,/m/04kyw,/m/047sfsb,,,,,,
26842,/m/04kyw,/m/06zrb,,,,,,
26843,/m/02fy_,/m/03cjd85,,,,Terry Scales,,
26844,/m/04kyw,/m/06n6zl,,,,,,
26845,/m/04kyw,/m/0bp8q,,,,,,
26846,/m/04kyw,/m/01m1y8,,,,,,
26847,/m/04n8q,/m/02npry,,,,,,
26848,/m/04kyw,/m/0gzx5x,,,,,,
26849,/m/04n8q,/m/0gzx5x,,,,,,
26850,/m/04kyw,/m/0ckv51,,,,,,
26851,/m/04kyw,/m/080ycj,,,,,,
26852,/m/04kyw,/m/01hxzg,,,,,,
26853,/m/04kyw,/m/03r1wd,,,,,,
26854,/m/04n8q,/m/037xjq,,,,,,
26855,/m/04n8q,/m/0w63482,,,,,,
26856,/m/04kyw,/m/02h31b,,,,,,
26857,/m/04kyw,/m/01tlw,,,,,,
26858,/m/04kyw,/m/0521z,,,,,,
26859,/m/04kyw,/m/05dts,,,,,,
26860,/m/04kyw,/m/06016,,,,,,
26861,/m/051mn,/m/0j3g8zl,M. C. Escher,,,,,
26862,/m/051mn,/m/03cnjbz,M. C. Escher,,,,,
26863,/m/053_x,/m/0j3djl7,,,,,,
26864,/m/04xk5,/m/078dpp,Maimonides,1.0,,Salomon Maimon,1.0,
26865,/m/0568h,/m/0gdxqx,,,,,,
26866,/m/09p14,/m/03y9dmy,,,,,,
26867,/m/0bqch,/m/064k1g8,Marcel Duchamp,,,Ben F. Laposky,,
26868,/m/0bqch,/m/0bmf2fd,Marcel Duchamp,,,,,
26869,/m/0bqch,/m/0rpjl92,Marcel Duchamp,,,,,
26870,/m/053_x,/m/04zzxjs,,,,,,
26871,/m/0bqch,/m/0vph_zl,Marcel Duchamp,,,,,
26872,/m/0bqch,/m/09m_j0,Marcel Duchamp,,,,,
26873,/m/05095,/m/0gx1whk,,,,,,
26874,/m/0bqch,/m/0196x7,Marcel Duchamp,,,Maya Deren,,1.0
26875,/m/0bqch,/m/01n1tq,Marcel Duchamp,,,Jeff Koons,,
26876,/m/0bqch,/m/04y8q0f,Marcel Duchamp,,,Ryszard Wasko,,
26877,/m/0bqch,/m/0d_9t9,Marcel Duchamp,,,Roy Ascott,,
26878,/m/0bqch,/m/0y68qdx,Marcel Duchamp,,,,,
26879,/m/0bqch,/m/05jng5,Marcel Duchamp,,,Charles Sheeler,,
26880,/m/03f2h01,/m/09l5g0,Malcolm X,,1.0,,,
26881,/m/05095,/m/0gvtzrh,,,,Zamor,,1.0
26882,/m/0bqch,/m/0h_9r5m,Marcel Duchamp,,,,,
26883,/m/0bqch,/m/040m65,Marcel Duchamp,,,Ubermorgen,,
26884,/m/0bqch,/m/0115n34_,Marcel Duchamp,,,,,
26885,/m/0bqch,/m/0b75cr4,Marcel Duchamp,,,,,
26886,/m/05095,/m/03d8f_,,,,Simon Vouet,,
26887,/m/0bqch,/m/0q4s_,Marcel Duchamp,,,Francis Picabia,,
26888,/m/0bqch,/m/04y7xyd,Marcel Duchamp,,,Craig Kauffman,,
26889,/m/0bqch,/m/0sgdycm,Marcel Duchamp,,,,,
26890,/m/051mn,/m/0k0jw41,M. C. Escher,,,,,
26891,/m/04z84,/m/0575l6,,,,,,
26892,/m/05095,/m/0gx1_6z,,,,,,
26893,/m/099bk,/m/032xn8,Martin Heidegger,1.0,,Stanley Cavell,1.0,
26894,/m/04wqr,/m/0wxqcpp,Marilyn Monroe,,,,,
26895,/m/04y4j,/m/0fkb9r,Marshall McLuhan,1.0,1.0,B. W. Powe,1.0,
26896,/m/04wqr,/m/0h_9r5m,Marilyn Monroe,,,,,
26897,/m/04y4j,/m/0sgdycm,Marshall McLuhan,1.0,1.0,,,
26898,/m/04y4j,/m/0278ms_,Marshall McLuhan,1.0,1.0,,,
